GameID,DateTime_ET,Visitor,Visitor PTS,Home,Home PTS,Winner,Kalshi Odds (Visitor win),Kalshi Odds (Home win)
KXNBAGAME-25OCT24PHXLAC-LAC,2025-10-24 22:30:00,Phoenix Suns,102,Los Angeles Clippers,129,Los Angeles Clippers,0.21999999999999997,0.78
KXNBAGAME-25OCT25CHIORL-ORL,2025-10-25 19:00:00,Chicago Bulls,110,Orlando Magic,98,Chicago Bulls,0.31000000000000005,0.69
KXNBAGAME-25OCT25OKCATL-ATL,2025-10-25 19:30:00,Oklahoma City Thunder,117,Atlanta Hawks,100,Oklahoma City Thunder,0.75,0.25
KXNBAGAME-25OCT25CHAPHI-PHI,2025-10-25 19:30:00,Charlotte Hornets,121,Philadelphia 76ers,125,Philadelphia 76ers,0.36,0.64
KXNBAGAME-25OCT25INDMEM-MEM,2025-10-25 20:00:00,Indiana Pacers,103,Memphis Grizzlies,128,Memphis Grizzlies,0.45999999999999996,0.54
KXNBAGAME-25OCT25PHXDEN-DEN,2025-10-25 21:00:00,Phoenix Suns,111,Denver Nuggets,133,Denver Nuggets,0.14,0.86
KXNBAGAME-25OCT26BKNSAS-SAS,2025-10-26 14:00:00,Brooklyn Nets,107,San Antonio Spurs,118,San Antonio Spurs,0.18999999999999995,0.81
KXNBAGAME-25OCT26BOSDET-DET,2025-10-26 15:30:00,Boston Celtics,113,Detroit Pistons,119,Detroit Pistons,0.43999999999999995,0.56
KXNBAGAME-25OCT26CHAWAS-WAS,2025-10-26 18:00:00,Charlotte Hornets,139,Washington Wizards,113,Charlotte Hornets,0.44999999999999996,0.55
KXNBAGAME-25OCT26NYKMIA-MIA,2025-10-26 18:00:00,New York Knicks,107,Miami Heat,115,Miami Heat,0.5800000000000001,0.42
KXNBAGAME-25OCT26MILCLE-CLE,2025-10-26 18:00:00,Milwaukee Bucks,113,Cleveland Cavaliers,118,Cleveland Cavaliers,0.31000000000000005,0.69
KXNBAGAME-25OCT26INDMIN-MIN,2025-10-26 19:00:00,Indiana Pacers,110,Minnesota Timberwolves,114,Minnesota Timberwolves,0.16000000000000003,0.84
KXNBAGAME-25OCT26TORDAL-DAL,2025-10-26 19:30:00,Toronto Raptors,129,Dallas Mavericks,139,Dallas Mavericks,0.49,0.51
KXNBAGAME-25OCT26LALSAC-SAC,2025-10-26 21:00:00,Los Angeles Lakers,127,Sacramento Kings,120,Los Angeles Lakers,0.38,0.62
KXNBAGAME-25OCT26PORLAC-LAC,2025-10-26 21:00:00,Portland Trail Blazers,107,Los Angeles Clippers,114,Los Angeles Clippers,0.26,0.74
KXNBAGAME-25OCT27CLEDET-DET,2025-10-27 19:00:00,Cleveland Cavaliers,116,Detroit Pistons,95,Cleveland Cavaliers,0.53,0.47
KXNBAGAME-25OCT27ORLPHI-PHI,2025-10-27 19:00:00,Orlando Magic,124,Philadelphia 76ers,136,Philadelphia 76ers,0.6599999999999999,0.34
KXNBAGAME-25OCT27ATLCHI-CHI,2025-10-27 20:00:00,Atlanta Hawks,123,Chicago Bulls,128,Chicago Bulls,0.55,0.45
KXNBAGAME-25OCT27BKNHOU-HOU,2025-10-27 20:00:00,Brooklyn Nets,109,Houston Rockets,137,Houston Rockets,0.10999999999999999,0.89
KXNBAGAME-25OCT27BOSNOP-NOP,2025-10-27 20:00:00,Boston Celtics,122,New Orleans Pelicans,90,Boston Celtics,0.64,0.36
KXNBAGAME-25OCT27TORSAS-SAS,2025-10-27 20:00:00,Toronto Raptors,103,San Antonio Spurs,121,San Antonio Spurs,0.37,0.63
KXNBAGAME-25OCT27OKCDAL-DAL,2025-10-27 20:30:00,Oklahoma City Thunder,101,Dallas Mavericks,94,Oklahoma City Thunder,0.75,0.25
KXNBAGAME-25OCT27PHXUTA-UTA,2025-10-27 21:00:00,Phoenix Suns,134,Utah Jazz,138,Utah Jazz,0.45999999999999996,0.54
KXNBAGAME-25OCT27DENMIN-MIN,2025-10-27 21:30:00,Denver Nuggets,127,Minnesota Timberwolves,114,Denver Nuggets,0.6699999999999999,0.33
KXNBAGAME-25OCT27MEMGSW-GSW,2025-10-27 22:00:00,Memphis Grizzlies,118,Golden State Warriors,131,Golden State Warriors,0.26,0.74
KXNBAGAME-25OCT27PORLAL-LAL,2025-10-27 22:30:00,Portland Trail Blazers,122,Los Angeles Lakers,108,Portland Trail Blazers,0.5700000000000001,0.43
KXNBAGAME-25OCT28PHIWAS-WAS,2025-10-28 19:00:00,Philadelphia 76ers,139,Washington Wizards,134,Philadelphia 76ers,0.64,0.36
KXNBAGAME-25OCT28CHAMIA-MIA,2025-10-28 19:30:00,Charlotte Hornets,117,Miami Heat,144,Miami Heat,0.37,0.63
KXNBAGAME-25OCT28NYKMIL-MIL,2025-10-28 20:00:00,New York Knicks,111,Milwaukee Bucks,121,Milwaukee Bucks,0.54,0.46
KXNBAGAME-25OCT28SACOKC-OKC,2025-10-28 20:00:00,Sacramento Kings,101,Oklahoma City Thunder,107,Oklahoma City Thunder,0.20999999999999996,0.79
KXNBAGAME-25OCT28LACGSW-GSW,2025-10-28 23:00:00,Los Angeles Clippers,79,Golden State Warriors,98,Golden State Warriors,0.5,0.5
KXNBAGAME-25OCT29HOUTOR-TOR,2025-10-29 18:30:00,Houston Rockets,139,Toronto Raptors,121,Houston Rockets,0.6699999999999999,0.33
KXNBAGAME-25OCT29CLEBOS-BOS,2025-10-29 19:00:00,Cleveland Cavaliers,105,Boston Celtics,125,Boston Celtics,0.6,0.4
